_id,ADDRESS,APPLICATION_FOR,BALLOTS_BLANK,BALLOTS_CAST,BALLOTS_DISTRIBUTED,BALLOTS_IN_FAVOUR,BALLOTS_NEEDED_TO_PROCEED,BALLOTS_NEEDED_TO_PROCEED_LBL,BALLOTS_OPPOSED,BALLOTS_RECEIVED_BY_VOTERS,BALLOTS_RETURNED_TO_SENDER,BALLOTS_SPOILED,CLOSE_DATE,DECLARATIONS_ADDED,FINAL_VOTER_COUNT,MORATORIUM_DATE,OPEN_DATE,PASS_RATE,PASS_RATE_LABEL,POLL_CD,POLL_ID,POLL_RESULT,POTENTIAL_VOTERS,RESPONSE_RATE_MET
689000,76 Gothic Ave,Front Yard Parking,0,42,88,29,22,25% of ballots received by voters,13,88,0,0,9/21/2017,0,88,9/22/2020,8/22/2017,22,50% + 1 of received ballots,FYP 2017-140,739,In Favour,1069,Yes
689001,,Permit Parking,0,6,54,0,12,25% of ballots received by voters,6,45,9,0,10/11/2017,0,54,10/12/2019,9/11/2017,,50% + 1 of received ballots,PPP 2017-141,740,Response Rate Not Met,83,No
689002,796 College St (former Toronto),Boulevard Cafe,0,33,108,16,26,25% of ballots received by voters,10,102,6,7,10/6/2017,0,108,10/7/2019,9/6/2017,18,50% + 1 of received ballots,BCP 2017-142,741,Opposed,131,Yes
689003,,Traffic Calming,1,32,69,12,32,50% + 1 of ballots received by voters,19,63,6,0,10/14/2017,0,69,10/15/2019,9/14/2017,20,60% of received ballots,TCP 2017-144,743,Opposed,70,Yes
689004,,Traffic Calming,0,36,117,28,55,50% + 1 of ballots received by voters,8,108,9,0,10/14/2017,0,117,10/15/2019,9/14/2017,,60% of received ballots,TCP 2017-145,744,Response Rate Not Met,134,No
689005,67 St Annes Rd,Front Yard Parking,0,29,59,24,15,25% of ballots received by voters,1,59,0,4,10/7/2017,0,59,10/8/2020,9/7/2017,16,50% + 1 of received ballots,FYP 2017-146,745,In Favour,74,Yes
689006,36 Morland Rd,Front Yard Parking,0,38,90,33,22,25% of ballots received by voters,2,88,2,3,10/13/2017,0,90,10/14/2020,9/13/2017,20,50% + 1 of received ballots,FYP 2017-147,746,In Favour,101,Yes
689007,,Traffic Calming – Island,0,140,275,71,132,50% + 1 of ballots received by voters,60,261,14,9,10/14/2017,4,275,10/15/2019,9/14/2017,84,60% of received ballots,TCIP 2017-148,749,Opposed,313,Yes
689008,,Traffic Calming – Island,0,229,396,81,187,50% + 1 of ballots received by voters,141,371,25,7,10/18/2017,1,396,10/19/2019,9/18/2017,138,60% of received ballots,TCIP 2017-149,752,Opposed,445,Yes
689009,1535 Yonge St,Boulevard Cafe,0,2,32,1,5,25% of ballots received by voters,1,18,14,0,10/19/2017,0,32,10/20/2019,9/19/2017,,50% + 1 of received ballots,BCP 2017-150,753,Response Rate Not Met,36,No
689010,177 Arlington Ave,Front Yard Parking,0,24,70,13,17,25% of ballots received by voters,11,66,4,0,10/18/2017,5,70,10/19/2020,9/18/2017,13,50% + 1 of received ballots,FYP 2017-151,754,In Favour,75,Yes
689011,34 Ellerbeck St,Appeal - Front Yard Parking,0,32,71,7,14,25% of ballots received by voters,24,54,17,1,10/18/2017,2,71,10/19/2020,9/18/2017,17,50% + 1 of received ballots,FYPA 2017-152,755,Opposed,89,Yes
689012,162 Moore Ave,Appeal - Front Yard Parking,0,31,56,25,12,25% of ballots received by voters,1,46,10,5,10/19/2017,0,56,10/20/2020,9/19/2017,17,50% + 1 of received ballots,FYPA 2017-153,756,In Favour,65,Yes
689013,41 Thornhill Ave,Front Yard Parking,0,37,74,27,18,25% of ballots received by voters,1,70,4,9,10/19/2017,0,74,10/20/2020,9/19/2017,20,50% + 1 of received ballots,FYP 2017-154,757,In Favour,91,Yes
689014,,Traffic Calming,0,52,77,31,38,50% + 1 of ballots received by voters,21,74,3,0,10/20/2017,0,77,10/21/2019,9/20/2017,32,60% of received ballots,TCP 2017-156,759,Opposed,88,Yes
689015,358 Bartlett Ave N,Appeal - Front Yard Parking,0,94,150,61,37,25% of ballots received by voters,9,147,3,24,10/25/2017,2,150,10/26/2020,9/25/2017,48,50% + 1 of received ballots,FYPA 2017-157,760,In Favour,196,Yes
689016,8 Cliff St,Front Yard Parking,0,19,45,16,10,25% of ballots received by voters,1,37,8,2,10/20/2017,0,45,10/21/2020,9/20/2017,11,50% + 1 of received ballots,FYP 2017-158,761,In Favour,51,Yes
689017,,Traffic Calming,0,25,402,21,171,50% + 1 of ballots received by voters,0,339,63,4,11/25/2017,0,402,11/26/2019,10/26/2017,,60% of received ballots,TCP 2017-159,762,Response Rate Not Met,502,No
689018,,Traffic Calming,0,34,73,19,34,50% + 1 of ballots received by voters,6,65,8,9,10/26/2017,2,73,10/27/2019,9/26/2017,21,60% of received ballots,TCP 2017-160,763,Opposed,84,Yes
689019,,Traffic Calming,0,73,165,36,76,50% + 1 of ballots received by voters,33,150,15,4,10/28/2017,0,165,10/29/2019,9/28/2017,,60% of received ballots,TCP 2017-161,764,Response Rate Not Met,190,No
689020,,Traffic Calming,0,19,42,14,19,50% + 1 of ballots received by voters,3,36,6,2,10/28/2017,0,42,10/29/2019,9/28/2017,12,60% of received ballots,TCP 2017-162,765,In Favour,47,Yes
689021,,Business Improvement Area,0,53,129,43,35,30% of ballots received by voters or 100,10,114,15,0,12/22/2017,32,129,12/23/2019,10/23/2017,27,50% of received ballots,BIA 2017-163,766,In Favour,5325,Yes
689022,,Traffic Calming,0,148,327,97,163,50% + 1 of ballots received by voters,25,323,4,26,11/11/2017,2,327,11/12/2019,10/12/2017,,60% of received ballots,TCP 2017-164,767,Response Rate Not Met,392,No
689023,12 Pinehill Cres,Front Yard Parking,0,11,13,5,4,25% of ballots received by voters,6,13,0,0,11/9/2017,0,13,11/10/2020,10/10/2017,7,50% + 1 of received ballots,FYP 2017-165,768,Opposed,63,Yes
689024,289 Windermere Ave,Front Yard Parking,0,46,100,38,24,25% of ballots received by voters,8,93,7,0,11/4/2017,2,100,11/5/2020,10/5/2017,24,50% + 1 of received ballots,FYP 2017-166,769,In Favour,122,Yes
689025,,Traffic Calming,0,54,121,29,57,50% + 1 of ballots received by voters,23,111,10,2,11/9/2017,0,121,11/10/2019,10/10/2017,,60% of received ballots,TCP 2017-167,770,Response Rate Not Met,136,No
689026,,Permit Parking,0,22,89,16,21,25% of ballots received by voters,6,81,8,0,11/15/2017,0,89,11/16/2019,10/16/2017,12,50% + 1 of received ballots,PPP 2017-168,771,In Favour,107,Yes
689027,3305 Yonge St,Boulevard Cafe,0,20,67,14,16,25% of ballots received by voters,3,62,5,3,11/10/2017,0,67,11/11/2019,10/11/2017,11,50% + 1 of received ballots,BCP 2017-169,772,In Favour,87,Yes
689028,415 Spadina Rd,Boulevard Cafe,0,40,218,39,41,25% of ballots received by voters,1,161,57,0,11/15/2017,0,218,11/16/2019,10/16/2017,,50% + 1 of received ballots,BCP 2017-170,773,Response Rate Not Met,224,No
689029,186 Quebec Ave,Appeal - Front Yard Parking,0,47,129,30,31,25% of ballots received by voters,16,121,8,1,11/18/2017,0,129,11/19/2020,10/19/2017,25,50% + 1 of received ballots,FYPA 2017-171,774,In Favour,153,Yes
689030,188 Quebec Ave,Appeal - Front Yard Parking,0,44,129,29,31,25% of ballots received by voters,14,123,6,1,11/18/2017,0,129,11/19/2020,10/19/2017,23,50% + 1 of received ballots,FYPA 2017-172,775,In Favour,153,Yes
689031,,Traffic Calming,0,50,92,37,47,50% + 1 of ballots received by voters,9,91,1,4,11/30/2017,0,92,12/1/2019,10/31/2017,30,60% of received ballots,TCP 2017-173,776,In Favour,107,Yes
689032,,Traffic Calming,0,174,387,119,187,50% + 1 of ballots received by voters,37,372,15,18,12/1/2017,2,387,12/2/2019,11/1/2017,,60% of received ballots,TCP 2017-174,777,Response Rate Not Met,427,No
689033,,Traffic Calming,0,54,75,43,38,50% + 1 of ballots received by voters,11,73,2,0,11/22/2017,0,75,11/23/2019,10/23/2017,33,60% of received ballots,TCP 2017-175,778,In Favour,85,Yes
689034,,Traffic Calming,0,57,115,32,56,50% + 1 of ballots received by voters,23,110,5,2,11/24/2017,0,115,11/25/2019,10/25/2017,35,60% of received ballots,TCP 2017-176,779,Opposed,123,Yes
689035,,Traffic Calming,0,36,65,18,32,50% + 1 of ballots received by voters,15,62,3,3,11/25/2017,0,65,11/26/2019,10/26/2017,22,60% of received ballots,TCP 2017-177,780,Opposed,78,Yes
689036,859 Bloor St W,Boulevard Cafe,0,39,154,30,37,25% of ballots received by voters,7,147,7,2,11/29/2017,0,154,11/30/2019,10/30/2017,21,50% + 1 of received ballots,BCP 2017-178,781,In Favour,187,Yes
689037,76 Castlefield Ave,Front Yard Parking,0,74,113,69,28,25% of ballots received by voters,2,110,3,3,11/22/2017,0,113,11/23/2020,10/23/2017,38,50% + 1 of received ballots,FYP 2017-179,782,In Favour,150,Yes
689038,97 Roslin Ave,Appeal - Front Yard Parking,0,21,60,6,15,25% of ballots received by voters,13,60,0,2,11/29/2017,0,60,11/30/2020,10/30/2017,12,50% + 1 of received ballots,FYPA 2017-180,783,Opposed,70,Yes
689039,2755 Dundas St W,Boulevard Cafe,0,31,92,17,22,25% of ballots received by voters,6,85,7,8,12/2/2017,0,92,12/3/2019,11/2/2017,17,50% + 1 of received ballots,BCP 2017-181,784,In Favour,120,Yes
689040,52 Belvidere Ave,Appeal - Front Yard Parking,0,23,74,17,19,25% of ballots received by voters,5,74,0,1,11/30/2017,0,74,12/1/2020,10/31/2017,13,50% + 1 of received ballots,FYPA 2017-182,785,In Favour,91,Yes
689041,,Traffic Calming,0,77,125,56,63,50% + 1 of ballots received by voters,11,123,2,10,12/7/2017,0,125,12/8/2019,11/7/2017,47,60% of received ballots,TCP 2017-183,790,In Favour,152,Yes
689042,,Traffic Calming,0,56,113,45,57,50% + 1 of ballots received by voters,8,111,2,3,12/8/2017,0,113,12/9/2019,11/8/2017,,60% of received ballots,TCP 2017-184,791,Response Rate Not Met,147,No
689043,,Traffic Calming,0,58,107,34,55,50% + 1 of ballots received by voters,24,107,0,0,12/9/2017,0,107,12/10/2019,11/9/2017,35,60% of received ballots,TCP 2017-185,793,Opposed,114,Yes
689044,,Traffic Calming,0,3,10,3,6,50% + 1 of ballots received by voters,0,10,0,0,12/9/2017,0,10,12/10/2019,11/9/2017,,60% of received ballots,TCP 2017-186,794,Response Rate Not Met,13,No
689045,,Traffic Calming,0,53,73,29,37,50% + 1 of ballots received by voters,23,72,1,1,12/13/2017,0,73,12/14/2019,11/13/2017,32,60% of received ballots,TCP 2017-187,795,Opposed,82,Yes
689046,33 Church St (York),Front Yard Parking,0,5,28,5,7,25% of ballots received by voters,0,27,1,0,12/9/2017,0,28,12/10/2020,11/9/2017,,50% + 1 of received ballots,FYP 2017-188,796,Response Rate Not Met,78,No
689047,128 Cameron Ave (York),Front Yard Parking,0,52,79,45,20,25% of ballots received by voters,0,79,0,7,12/13/2017,0,79,12/14/2020,11/13/2017,27,50% + 1 of received ballots,FYP 2017-189,797,In Favour,99,Yes
689048,,Traffic Calming,0,72,235,43,111,50% + 1 of ballots received by voters,16,220,15,13,12/30/2017,0,235,12/31/2019,11/30/2017,,60% of received ballots,TCP 2017-190,798,Response Rate Not Met,271,No
689049,,Traffic Calming,0,60,206,36,101,50% + 1 of ballots received by voters,7,200,6,17,12/30/2017,0,206,12/31/2019,11/30/2017,,60% of received ballots,TCP 2017-191,799,Response Rate Not Met,265,No
689050,,Traffic Calming,0,40,89,17,40,50% + 1 of ballots received by voters,12,78,11,11,12/20/2017,0,89,12/21/2019,11/20/2017,24,60% of received ballots,TCP 2017-192,800,Opposed,117,Yes
689051,,Traffic Calming,0,57,95,43,48,50% + 1 of ballots received by voters,11,94,1,3,12/23/2017,0,95,12/24/2019,11/23/2017,35,60% of received ballots,TCP 2017-193,801,In Favour,109,Yes
689052,87 Hanna Rd,Front Yard Parking,0,30,50,8,13,25% of ballots received by voters,21,50,0,1,1/3/2018,1,50,1/4/2021,12/4/2017,16,50% + 1 of received ballots,FYP 2017-194,802,Opposed,58,Yes
689053,9 Bellefair Ave,Appeal - Front Yard Parking,0,42,83,34,21,25% of ballots received by voters,1,82,1,7,1/3/2018,0,83,1/4/2021,12/4/2017,22,50% + 1 of received ballots,FYPA 2017-195,803,In Favour,154,Yes
689054,,Traffic Calming,0,3,11,2,7,50% + 1 of ballots received by voters,1,11,0,0,1/3/2018,0,11,1/4/2020,12/4/2017,,60% of received ballots,TCP 2017-196,804,Response Rate Not Met,12,No
689055,,Traffic Calming,0,10,42,9,22,50% + 1 of ballots received by voters,0,42,0,1,1/10/2018,0,42,1/11/2020,12/11/2017,,60% of received ballots,TCP 2017-197,805,Response Rate Not Met,59,No
689056,,Traffic Calming,0,34,49,34,26,50% + 1 of ballots received by voters,0,49,0,0,1/11/2018,0,49,1/12/2020,12/12/2017,21,60% of received ballots,TCP 2017-198,806,In Favour,59,Yes
689057,383 Quebec Ave,Front Yard Parking,0,41,92,36,22,25% of ballots received by voters,2,87,5,3,1/6/2018,0,92,1/7/2021,12/7/2017,22,50% + 1 of received ballots,FYP 2017-199,807,In Favour,128,Yes
689058,108 Mountview Ave,Front Yard Parking,0,12,13,9,4,25% of ballots received by voters,0,13,0,3,1/6/2018,0,13,1/7/2021,12/7/2017,7,50% + 1 of received ballots,FYP 2017-200,808,In Favour,896,Yes
689059,22 Bushey Ave,Front Yard Parking,0,47,98,38,24,25% of ballots received by voters,5,96,2,4,1/10/2018,0,98,1/11/2021,12/11/2017,25,50% + 1 of received ballots,FYP 2017-201,809,In Favour,155,Yes
689060,492 St Clarens Ave,Appeal - Front Yard Parking,0,39,145,29,35,25% of ballots received by voters,6,139,6,4,1/12/2018,0,145,1/13/2021,12/13/2017,21,50% + 1 of received ballots,FYPA 2017-202,810,In Favour,167,Yes
689061,479 Danforth Ave,Boulevard Cafe,0,17,54,12,13,25% of ballots received by voters,4,52,2,1,1/17/2018,0,54,1/18/2020,12/18/2017,10,50% + 1 of received ballots,BCP 2017-203,811,In Favour,69,Yes
689062,118 Robina Ave,Appeal - Front Yard Parking,0,57,151,30,35,25% of ballots received by voters,5,139,12,22,2/14/2018,0,151,2/15/2021,1/15/2018,30,50% + 1 of received ballots,FYPA 2017-204,812,In Favour,174,Yes
689063,17 Dilworth Cres,Appeal - Front Yard Parking,0,53,96,46,24,25% of ballots received by voters,2,96,0,5,2/15/2018,0,96,2/16/2021,1/16/2018,28,50% + 1 of received ballots,FYPA 2017-205,813,In Favour,106,Yes
689064,21 Braeside Rd,Front Yard Parking,0,31,46,30,12,25% of ballots received by voters,0,45,1,1,2/17/2018,0,46,2/18/2021,1/18/2018,17,50% + 1 of received ballots,FYP 2017-206,814,In Favour,55,Yes
689065,1288 Dundas St W,Boulevard Cafe,0,31,105,11,24,25% of ballots received by voters,8,94,11,12,2/21/2018,0,105,2/22/2020,1/22/2018,17,50% + 1 of received ballots,BCP 2017-207,815,Opposed,136,Yes
689066,125 Trowell Ave,Appeal - Front Yard Parking,0,28,81,24,18,25% of ballots received by voters,1,71,10,3,2/17/2018,2,81,2/18/2021,1/18/2018,15,50% + 1 of received ballots,FYPA 2017-209,817,In Favour,98,Yes
689067,46 Bicknell Ave,Appeal - Front Yard Parking,0,12,53,12,13,25% of ballots received by voters,0,51,2,0,2/10/2018,0,53,2/11/2021,1/11/2018,,50% + 1 of received ballots,FYPA 2017-210,818,Response Rate Not Met,71,No
689068,255 Campbell Ave,Front Yard Parking,0,41,73,33,19,25% of ballots received by voters,1,73,0,7,2/14/2018,0,73,2/15/2021,1/15/2018,22,50% + 1 of received ballots,FYP 2017-211,819,In Favour,241,Yes
689069,24 Homeview Ave,Front Yard Parking,0,33,68,26,17,25% of ballots received by voters,3,68,0,4,2/14/2018,0,68,2/15/2021,1/15/2018,18,50% + 1 of received ballots,FYP 2017-212,820,In Favour,82,Yes
689070,50 Guestville Ave,Front Yard Parking,0,36,79,32,19,25% of ballots received by voters,2,75,4,2,2/16/2018,0,79,2/17/2021,1/17/2018,19,50% + 1 of received ballots,FYP 2017-214,822,In Favour,91,Yes
689071,14 Edgewood Grv,Front Yard Parking,0,19,30,19,8,25% of ballots received by voters,0,30,0,0,2/17/2018,0,30,2/18/2021,1/18/2018,11,50% + 1 of received ballots,FYP 2017-215,823,In Favour,34,Yes
689072,,Permit Parking,0,101,397,34,86,25% of ballots received by voters,64,341,56,3,3/3/2018,2,397,3/4/2020,2/1/2018,52,50% + 1 of received ballots,PPP 2018-001,824,Opposed,450,Yes
689073,,Permit Parking,0,26,178,3,44,25% of ballots received by voters,17,173,5,6,3/3/2018,0,178,3/4/2020,2/1/2018,,50% + 1 of received ballots,PPP 2018-002,825,Response Rate Not Met,224,No
689074,,Permit Parking,0,43,264,8,60,25% of ballots received by voters,32,238,26,3,3/3/2018,0,264,3/4/2020,2/1/2018,,50% + 1 of received ballots,PPP 2018-003,826,Response Rate Not Met,305,No
689075,425 Armadale Ave,Front Yard Parking,0,33,64,33,16,25% of ballots received by voters,0,64,0,0,2/22/2018,2,64,2/23/2021,1/23/2018,18,50% + 1 of received ballots,FYP 2018-005,828,In Favour,85,Yes
689076,354 Wallace Ave,Front Yard Parking,0,23,49,23,12,25% of ballots received by voters,0,47,2,0,3/15/2018,0,49,3/16/2021,2/13/2018,13,50% + 1 of received ballots,FYP 2018-006,829,In Favour,292,Yes
689077,41 Rusholme Dr,Front Yard Parking,0,21,56,21,14,25% of ballots received by voters,0,56,0,0,2/24/2018,0,56,2/25/2021,1/25/2018,12,50% + 1 of received ballots,FYP 2018-007,830,In Favour,91,Yes
689078,19 Le May Rd,Appeal - Front Yard Parking,0,38,56,21,14,25% of ballots received by voters,15,54,2,2,2/28/2018,0,56,3/1/2021,1/29/2018,20,50% + 1 of received ballots,FYPA 2018-008,831,In Favour,62,Yes
689079,26 St Annes Rd,Appeal - Front Yard Parking,0,26,73,24,18,25% of ballots received by voters,0,70,3,2,3/3/2018,0,73,3/4/2021,2/1/2018,14,50% + 1 of received ballots,FYPA 2018-009,832,In Favour,101,Yes
689080,72 Coolmine Rd,Appeal - Front Yard Parking,0,46,62,37,16,25% of ballots received by voters,5,62,0,4,2/28/2018,0,62,3/1/2021,1/29/2018,24,50% + 1 of received ballots,FYPA 2018-010,833,In Favour,86,Yes
689081,444 Westmount Ave,Appeal - Front Yard Parking,0,36,165,22,41,25% of ballots received by voters,9,164,1,5,2/28/2018,0,165,3/1/2021,1/29/2018,,50% + 1 of received ballots,FYPA 2018-011,834,Response Rate Not Met,213,No
689082,83 Campbell Ave,Appeal - Front Yard Parking,0,46,151,42,35,25% of ballots received by voters,0,140,11,4,3/1/2018,0,151,3/2/2021,1/30/2018,24,50% + 1 of received ballots,FYPA 2018-012,835,In Favour,197,Yes
689083,884 Queen St E,Boulevard Cafe,0,33,51,26,13,25% of ballots received by voters,5,50,1,2,3/10/2018,0,51,3/11/2020,2/8/2018,18,50% + 1 of received ballots,BCP 2018-015,838,In Favour,56,Yes
689084,,Traffic Calming,0,25,71,18,32,50% + 1 of ballots received by voters,7,62,9,0,3/14/2018,0,71,3/15/2020,2/12/2018,,60% of received ballots,TCP 2018-016,841,Response Rate Not Met,80,No
689085,,Traffic Calming,1,31,119,15,59,50% + 1 of ballots received by voters,14,117,2,1,3/7/2018,0,119,3/8/2020,2/5/2018,,60% of received ballots,TCP 2018-017,842,Response Rate Not Met,128,No
689086,97 Roslin Ave,Appeal - Front Yard Parking,0,28,60,12,15,25% of ballots received by voters,14,59,1,2,3/7/2018,0,60,3/8/2021,2/5/2018,15,50% + 1 of received ballots,FYPA 2018-018,843,Opposed,70,Yes
689087,160 Cedric Ave,Appeal - Front Yard Parking,0,53,185,23,44,25% of ballots received by voters,23,176,9,7,3/2/2018,0,185,3/3/2021,1/31/2018,28,50% + 1 of received ballots,FYPA 2018-019,844,Opposed,235,Yes
689088,,Traffic Calming,1,49,82,43,41,50% + 1 of ballots received by voters,4,80,2,1,3/16/2018,0,82,3/17/2020,2/14/2018,30,60% of received ballots,TCP 2018-020,845,In Favour,96,Yes
689089,328 Glenholme Ave,Front Yard Parking,0,20,38,14,9,25% of ballots received by voters,3,33,5,3,3/16/2018,0,38,3/17/2021,2/14/2018,11,50% + 1 of received ballots,FYP 2018-021,846,In Favour,48,Yes
689090,165 Wallace Ave,Front Yard Parking,0,17,88,15,21,25% of ballots received by voters,0,83,5,2,3/17/2018,0,88,3/18/2021,2/15/2018,,50% + 1 of received ballots,FYP 2018-022,847,Response Rate Not Met,121,No
689091,,Traffic Calming,0,82,616,61,298,50% + 1 of ballots received by voters,12,593,23,9,3/16/2018,0,616,3/17/2020,2/14/2018,,60% of received ballots,TCP 2018-025,850,Response Rate Not Met,744,No
689092,,Permit Parking,0,22,95,13,23,25% of ballots received by voters,8,90,5,1,3/15/2018,0,95,3/16/2020,2/13/2018,,50% + 1 of received ballots,PPP 2018-026,851,Response Rate Not Met,110,No
689093,,Permit Parking,0,58,234,23,57,25% of ballots received by voters,33,226,8,2,3/17/2018,0,234,3/18/2020,2/15/2018,30,50% + 1 of received ballots,PPP 2018-027,852,Opposed,265,Yes
689094,,Traffic Calming,0,39,69,31,32,50% + 1 of ballots received by voters,5,62,7,3,3/17/2018,1,69,3/18/2020,2/15/2018,24,60% of received ballots,TCP 2018-028,855,In Favour,77,Yes
689095,,Traffic Calming,0,123,192,96,88,50% + 1 of ballots received by voters,21,173,19,6,3/22/2018,0,192,3/23/2020,2/20/2018,74,60% of received ballots,TCP 2018-029,856,In Favour,217,Yes
689096,53 Brookside Ave,Appeal - Front Yard Parking,0,37,62,31,15,25% of ballots received by voters,4,60,2,2,3/28/2018,0,62,3/29/2021,2/26/2018,20,50% + 1 of received ballots,FYPA 2018-030,857,In Favour,71,Yes
689097,55 Brookside Ave,Appeal - Front Yard Parking,0,37,62,31,15,25% of ballots received by voters,3,60,2,3,3/29/2018,0,62,3/30/2021,2/27/2018,20,50% + 1 of received ballots,FYPA 2018-031,858,In Favour,71,Yes
689098,104 Mountview Ave,Appeal - Front Yard Parking,0,11,11,11,3,25% of ballots received by voters,0,11,0,0,3/29/2018,0,11,3/30/2021,2/27/2018,7,50% + 1 of received ballots,FYPA 2018-032,859,In Favour,16,Yes
689099,299 Mortimer Ave,Appeal - Front Yard Parking,0,52,76,43,19,25% of ballots received by voters,8,76,0,1,3/23/2018,0,76,3/24/2021,2/21/2018,27,50% + 1 of received ballots,FYPA 2018-034,861,In Favour,84,Yes
689100,161 Linsmore Cres,Appeal - Front Yard Parking,0,54,106,42,27,25% of ballots received by voters,12,105,1,0,3/23/2018,0,106,3/24/2021,2/21/2018,28,50% + 1 of received ballots,FYPA 2018-035,862,In Favour,115,Yes
689101,102 Mountview Ave,Appeal - Front Yard Parking,0,13,13,13,4,25% of ballots received by voters,0,13,0,0,3/24/2018,0,13,3/25/2021,2/22/2018,8,50% + 1 of received ballots,FYPA 2018-036,863,In Favour,902,Yes
689102,29 Rowland St,Front Yard Parking,0,32,76,29,18,25% of ballots received by voters,0,69,7,3,3/22/2018,0,76,3/23/2021,2/20/2018,17,50% + 1 of received ballots,FYP 2018-037,864,In Favour,110,Yes
689103,57 Beresford Ave,Front Yard Parking,0,41,107,33,26,25% of ballots received by voters,4,104,3,4,3/24/2018,0,107,3/25/2021,2/22/2018,22,50% + 1 of received ballots,FYP 2018-038,865,In Favour,129,Yes
689104,358 Fairlawn Ave,Front Yard Parking,0,29,59,27,15,25% of ballots received by voters,0,59,0,2,3/29/2018,0,59,3/30/2021,2/27/2018,16,50% + 1 of received ballots,FYP 2018-039,866,In Favour,187,Yes
689105,45 Poplar Plains Cres,Front Yard Parking,0,32,46,24,11,25% of ballots received by voters,5,44,2,3,4/4/2018,0,46,4/5/2021,3/5/2018,17,50% + 1 of received ballots,FYP 2018-040,867,In Favour,51,Yes
689106,119 Russett Ave,Front Yard Parking,0,63,125,56,30,25% of ballots received by voters,2,118,7,5,4/5/2018,0,125,4/6/2021,3/6/2018,33,50% + 1 of received ballots,FYP 2018-041,868,In Favour,152,Yes
689107,53 Denison Rd W,Front Yard Parking,1,47,71,39,18,25% of ballots received by voters,0,71,0,7,4/5/2018,1,71,4/6/2021,3/6/2018,25,50% + 1 of received ballots,FYP 2018-042,869,In Favour,89,Yes
689108,,Proposed Business Improvement Area,0,7,20,7,6,30% of ballots received by voters or 100,0,20,0,0,4/13/2018,2,20,4/14/2020,2/12/2018,4,50% of received ballots,PBIA 2018-043,870,In Favour,54,Yes
689109,9 Durie St,Appeal - Front Yard Parking,0,30,67,25,16,25% of ballots received by voters,3,61,6,2,3/28/2018,0,67,3/29/2021,2/26/2018,16,50% + 1 of received ballots,FYPA 2018-044,871,In Favour,72,Yes
689110,272 Rusholme Rd,Front Yard Parking,0,33,78,14,17,25% of ballots received by voters,17,67,11,2,3/30/2018,0,78,3/31/2021,2/28/2018,18,50% + 1 of received ballots,FYP 2018-045,872,Opposed,98,Yes
689111,266 Waverley Rd,Appeal - Front Yard Parking,1,49,106,23,27,25% of ballots received by voters,23,106,0,2,3/30/2018,0,106,3/31/2021,2/28/2018,26,50% + 1 of received ballots,FYPA 2018-046,873,Opposed,123,Yes
689112,102 Bellefair Ave,Appeal - Front Yard Parking,0,43,84,13,20,25% of ballots received by voters,30,80,4,0,4/4/2018,0,84,4/5/2021,3/5/2018,23,50% + 1 of received ballots,FYPA 2018-047,874,Opposed,96,Yes
689113,42 Bellhaven Rd,Appeal - Front Yard Parking,0,42,59,37,15,25% of ballots received by voters,0,57,2,5,4/12/2018,2,59,4/13/2021,3/13/2018,22,50% + 1 of received ballots,FYPA 2018-048,875,In Favour,69,Yes
689114,117 Symington Ave,Front Yard Parking,0,91,200,86,44,25% of ballots received by voters,1,175,25,4,4/13/2018,0,200,4/14/2021,3/14/2018,47,50% + 1 of received ballots,FYP 2018-049,876,In Favour,260,Yes
689115,432 Margueretta St,Front Yard Parking,0,49,183,33,44,25% of ballots received by voters,4,174,9,12,4/6/2018,0,183,4/7/2021,3/7/2018,26,50% + 1 of received ballots,FYP 2018-050,877,In Favour,233,Yes
689116,5 Osler St,Front Yard Parking,0,35,75,29,17,25% of ballots received by voters,3,65,10,3,4/14/2018,0,75,4/15/2021,3/15/2018,19,50% + 1 of received ballots,FYP 2018-051,878,In Favour,103,Yes
689117,245 Symington Ave,Front Yard Parking,0,32,128,28,29,25% of ballots received by voters,0,116,12,4,4/18/2018,0,128,4/19/2021,3/19/2018,17,50% + 1 of received ballots,FYP 2018-052,879,In Favour,162,Yes
689118,,Traffic Calming,0,120,343,53,159,50% + 1 of ballots received by voters,50,315,28,17,4/7/2018,0,343,4/8/2020,3/8/2018,,60% of received ballots,TCP 2018-053,880,Response Rate Not Met,433,No
689119,715 Oriole Pkwy,Appeal - Front Yard Parking,0,7,35,5,9,25% of ballots received by voters,1,35,0,1,4/12/2018,0,35,4/13/2021,3/13/2018,,50% + 1 of received ballots,FYPA 2018-054,881,Response Rate Not Met,41,No
689120,,Traffic Calming,0,122,335,51,152,50% + 1 of ballots received by voters,54,302,33,17,4/27/2018,0,335,4/28/2020,3/28/2018,,60% of received ballots,TCP 2018-055,882,Response Rate Not Met,401,No
689121,890 College St (former Toronto),Boulevard Cafe,0,13,135,10,27,25% of ballots received by voters,2,106,29,1,4/7/2018,0,135,4/8/2020,3/8/2018,,50% + 1 of received ballots,BCP 2018-056,883,Response Rate Not Met,170,No
689122,,Permit Parking,0,13,19,11,5,25% of ballots received by voters,0,19,0,2,4/18/2018,0,19,4/19/2020,3/19/2018,8,50% + 1 of received ballots,PPP 2018-057,884,In Favour,21,Yes
